# theta_arcsec xi_plus err
3.540837150365763630e+00 1.044565093984709758e+00 5.248595163571733169e-01
4.777837568103419308e+00 7.242165481327673682e-01 4.684166552340226497e-01
6.585248844205560559e+00 1.224573267479681649e-01 3.599709090128447309e-01
8.956598648354596293e+00 8.865763326575260006e-02 2.881155295162819430e-01
1.210738076581370670e+01 -2.173365374108995329e-01 2.161936272882442611e-01
1.643107361827799906e+01 1.709374305384176451e-01 1.649118330090167117e-01
2.227576580697099828e+01 1.896891911947429232e-02 1.242582892407505246e-01
3.014079745921747744e+01 6.433501248601494749e-02 9.357615314258412031e-02
4.106345375870724723e+01 -1.291277594621868807e-02 7.126779716042409840e-02
5.578992579155721643e+01 -9.342609286418619707e-02 5.363110510621384858e-02
7.567999618117916327e+01 3.114284122380167955e-02 4.044631339249207119e-02
1.028155668463414401e+02 4.511152600335015944e-02 3.076003252338092853e-02
1.394228452301656773e+02 2.211357512907834860e-03 2.348356068081717749e-02
1.891357152263510102e+02 -1.019996815914944906e-02 1.836866922149425069e-02
2.564269227765238952e+02 -1.638869523024125488e-02 1.448835639143171775e-02
3.473982324213146171e+02 5.406901054369430380e-03 1.180975465397415304e-02
4.705182648473665949e+02 1.038257638408854322e-03 1.020969534571792431e-02
6.350245100791667028e+02 -1.452414128449690950e-02 9.538670930518080085e-03
8.620033282690931173e+02 -6.777511298729497688e-03 9.402826116467560835e-03
