# theta_arcsec xi_plus err
3.540837150365764074e+00 4.513556734191735698e-02 1.671006934118059867e-02
4.777837568103419308e+00 2.086289345034958442e-02 1.491308539826083357e-02
6.585248844205558783e+00 6.227446605017329835e-03 1.146047401819246490e-02
8.956598648354594516e+00 3.346684607276126790e-04 9.172798294490212834e-03
1.210738076581370848e+01 -6.354492214260955979e-03 6.883004671767235447e-03
1.643107361827800261e+01 5.071476143966792589e-03 5.250334763648612825e-03
2.227576580697098763e+01 5.200609850313700879e-04 3.956038834621080844e-03
3.014079745921746678e+01 1.336450457912369575e-03 2.979204832840304153e-03
4.106345375870726855e+01 -4.499837310019928153e-04 2.268968733975408342e-03
5.578992579155722353e+01 -3.321810324684533293e-03 1.707465440255287762e-03
7.567999618117922012e+01 6.409743751185040684e-04 1.287698289390894158e-03
1.028155668463412837e+02 1.934830962850764627e-03 9.793140076227193052e-04
1.394228452301656489e+02 1.499932910111672295e-05 7.476513526473554374e-04
1.891357152263508965e+02 -7.002183543435606342e-04 5.848074138518641416e-04
2.564269227765242363e+02 -4.712873394485349570e-04 4.612690298937216038e-04
3.473982324213150719e+02 1.246287470698052152e-04 3.759897896867797477e-04
4.705182648473660265e+02 1.192244687195477082e-04 3.250483450569212774e-04
6.350245100791670438e+02 -3.110921633688961655e-04 3.036847912712566078e-04
8.620033282690936858e+02 -3.596251694072429808e-04 2.993598696652257567e-04
